[2025-10-02 23:25:06,135][main_train.py][line:80][INFO] Epoch:[76/300]	 loss=121.90243	 acc=74.528	 avg_spikes=0.000
[2025-10-02 23:25:06,633][main_train.py][line:84][INFO] Epoch:[76/300]	 Test acc=76.280	 Test avg_spikes=0.000

[2025-10-02 23:25:06,633][main_train.py][line:91][INFO] Best Test acc=83.530
[2025-10-02 23:25:10,219][main_train.py][line:80][INFO] Epoch:[77/300]	 loss=122.27360	 acc=74.648	 avg_spikes=0.000
[2025-10-02 23:25:10,780][main_train.py][line:84][INFO] Epoch:[77/300]	 Test acc=81.590	 Test avg_spikes=0.000

[2025-10-02 23:25:10,780][main_train.py][line:91][INFO] Best Test acc=83.530
[2025-10-02 23:25:14,608][main_train.py][line:80][INFO] Epoch:[78/300]	 loss=122.37415	 acc=74.634	 avg_spikes=0.000
[2025-10-02 23:25:15,081][main_train.py][line:84][INFO] Epoch:[78/300]	 Test acc=77.130	 Test avg_spikes=0.000

